Statistical profiling result from isolate-0x128008000-42789-v8.log, (7305 ticks, 988 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *Engine.tidy /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:4415:38
      1    0.0%    0.0%  LazyCompile: *Engine.shouldCheckForMemLeaks /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:4517:56
      1    0.0%    0.0%  LazyCompile: *Engine.scopedRun /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:4448:43
      1    0.0%    0.0%  LazyCompile: *Engine.runKernel /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:4502:43
      1    0.0%    0.0%  LazyCompile: *Engine.readSync /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:5115:42
      1    0.0%    0.0%  LazyCompile: *Engine.customGrad /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:5070:44
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-converter/dist/tf-converter.node.js:29549:38
      1    0.0%    0.0%  Function: ^walkTensorContainer /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:4063:29
      1    0.0%    0.0%  Function: ^transpose_ /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-converter/dist/tf-converter.node.js:22426:20
      1    0.0%    0.0%  Function: ^tidy /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:8900:14
      1    0.0%    0.0%  Function: ^tensor2d /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:20507:18
      1    0.0%    0.0%  Function: ^t.calculateMaxScoresYolov5 /Users/jon/sites/inference-server/server/node_modules/roboflow-node/roboflow.js:2:114474
      1    0.0%    0.0%  Function: ^scalar /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs-core/dist/tf-core.node.js:14649:16
      1    0.0%    0.0%  Function: ^resizeNearestNeighbor_ /Users/jon/sites/inference-server/server/node_modules/@tensorflow/tfjs/dist/tf.node.js:24390:32
      1    0.0%    0.0%  Function: ^readSync node:fs:684:18
      1    0.0%    0.0%  Function: ^pushAsyncContext node:internal/async_hooks:540:26
